original,normalised,method,reasoning
ET1,EDN1,llm,"""ET1"" is an exact synonym for EDN1, matching directly and confirming the gene symbol based on the provided synonym list."
miR-877-5p,miR-877-5p,llm_declined,"None of the candidate gene symbols match ""miR-877-5p"" as a synonym, and the context suggests a microRNA, which is not represented in the provided candidate genes."
Xor,Xor,llm_declined,"""Xor"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions are biologically plausible for the context of osteoarthritis research."
HDAC6,HDAC6,direct,exact symbol match
miR-9-5p,miR-9-5p,llm_declined,"None of the candidate gene symbols or synonyms match ""miR-9-5p"", and the context does not suggest a plausible connection to any of the listed genes."
Fgfr1,FGFR1,direct,exact symbol match
Hic-5,Hic-5,llm_declined,"""Hic-5"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically plausible matches to a gene involved in osteoarthritis based on the abstract contex"
Trpv4,TRPV4,direct,exact symbol match
A3AR,ADORA3,llm,"""A3AR"" is listed as a synonym for ADORA3, matching exactly and directly."
Egfr,EGFR,direct,exact symbol match
Col2a1,COL2A1,direct,exact symbol match
PAR2,F2RL1,llm,"""PAR2"" is explicitly listed as a synonym for F2RL1, matching exactly and confirming the gene symbol."
Neutrophil elastase,Neutrophil elastase,llm_declined,"""Neutrophil elastase"" does not appear in any of the candidate gene synonym lists, and none of the listed genes are specifically known as neutrophil elastase."
Sirt1,SIRT1,direct,exact symbol match
S100A9,S100A9,direct,exact symbol match
Camkk2,CAMKK2,direct,exact symbol match
ERAD,ERAD,llm_declined,"None of the candidate gene symbols have ""ERAD"" in their synonym lists, and ""ERAD"" is not biologically plausible for the described context of cartilage destruction in osteoarthritis."
NCOA3,NCOA3,direct,exact symbol match
Sox9,SOX9,direct,exact symbol match
Sost,SOST,direct,exact symbol match
miR-892b,miR-892b,llm_declined,"None of the candidate gene symbols or synonyms match ""miR-892b"", and the context suggests a microRNA, which is not represented in the provided candidate genes."
Adrb2,ADRB2,direct,exact symbol match
Rip3,Rip3,llm_declined,"""Rip3"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically plausible matches for a gene involved in osteoarthritis pathogenesis based on the ab"
Trim24,TRIM24,direct,exact symbol match
TGF beta,TGF beta,llm_declined,"None of the candidate gene symbols have ""TGF beta"" in their synonym lists, and none of the gene functions align with the biological context of transforming growth factor beta in osteoarthritis."
Dendritic cells,DCSTAMP,llm,"""Dendritic cells"" appears as a synonym in DCSTAMP's description, and the gene is directly related to dendritic cells and their functions, matching the abstract context."
circPDE4B,circPDE4B,llm_declined,"""circPDE4B"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are circRNAs or related to cartilage matrix breakdown, which is the context of the abstract."
C5,C5,direct,exact symbol match
C6,C6,direct,exact symbol match
CD59a,CD59a,llm_declined,"None of the candidate gene symbols or their synonyms match ""CD59a"", and the context suggests a complement regulatory protein, which is not represented among the listed candidates."
Mig6,Mig6,llm_declined,"""Mig6"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically relevant to osteoarthritis or cartilage biology based on the abstract context."
Col11a1,COL11A1,direct,exact symbol match
Alpk1,ALPK1,direct,exact symbol match
SDF-1,SDF-1,llm_declined,"None of the candidate gene symbols have ""SDF-1"" in their synonym lists, and none of the gene descriptions are biologically plausible matches for SDF-1, which is a chemokine involved in cell migration "
Bmp7,BMP7,direct,exact symbol match
Il1ra,Il1ra,llm_declined,"""Il1ra"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions are biologically plausible for the context of interleukin-1 receptor antagonist."
miR-146a,MIR146A,llm,"""miR-146a"" is an exact synonym of the MIR146A gene symbol, matching the abstract context of microRNA regulation in osteoarthritis."
Nell-1,Nell-1,llm_declined,"""Nell-1"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically plausible matches to a gene involved in osteoarthritis based on the abstract conte"
VEGFR-3,FLT4,llm,"""VEGFR-3"" is an exact synonym listed for FLT4, matching the gene name directly and confirming its biological relevance to lymphangiogenesis and vascular endothelial growth factors."
BTZ,CASC3,llm,"""BTZ"" is listed as a synonym for CASC3, matching exactly and directly."
Lin28a,LIN28A,direct,exact symbol match
PIM-1,PIM-1,llm_declined,"None of the candidate gene symbols have ""PIM-1"" in their synonym lists, and none of the gene descriptions are biologically plausible matches for a gene involved in osteoarthritis or synovial inflammat"
