original,normalised,method,reasoning
EDN1,EDN1,direct,exact symbol match
MIR-877,MIR-877,llm_declined,"None of the candidate gene symbols or synonyms match ""MIR-877"" and the context does not suggest a plausible match for a microRNA gene."
XDH,XDH,direct,exact symbol match
HDAC6,HDAC6,direct,exact symbol match
MIR-9,MIR-9,llm_declined,"None of the candidate gene symbols or their synonyms match ""MIR-9"" case-insensitively or punctuation-insensitively, and the context does not suggest a plausible match."
FGFR1,FGFR1,direct,exact symbol match
TGFB1I1,TGFB1I1,direct,exact symbol match
TRPV4,TRPV4,direct,exact symbol match
ADORA3,ADORA3,direct,exact symbol match
EGFR,EGFR,direct,exact symbol match
COL2A1,COL2A1,direct,exact symbol match
PAR2,F2RL1,llm,"""PAR2"" is explicitly listed as a synonym for F2RL1, matching exactly and directly."
NEUTROPHILELASTASE,NEUTROPHILELASTASE,llm_declined,"""NEUTROPHILELASTASE"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically related to neutrophil elastase based on the abstract context."
SIRT1,SIRT1,direct,exact symbol match
S100A9,S100A9,direct,exact symbol match
CAMKK2,CAMKK2,direct,exact symbol match
ERAD,ERAD,llm_declined,"None of the candidate gene symbols have ""ERAD"" in their synonym lists, and ""ERAD"" is not biologically plausible for the described context of cartilage destruction in osteoarthritis."
NCOA3,NCOA3,direct,exact symbol match
SOX9,SOX9,direct,exact symbol match
SOST,SOST,direct,exact symbol match
MIR-892B,MIR-892B,llm_declined,"None of the candidate gene symbols or synonyms match ""MIR-892B"", and the context does not suggest a plausible match among the listed candidates."
ADRB2,ADRB2,direct,exact symbol match
RIPK3,RIPK3,direct,exact symbol match
TRIM24,TRIM24,direct,exact symbol match
TGFB1,TGFB1,direct,exact symbol match
DENDRITICCELLS,DENDRITICCELLS,llm_declined,"""DENDRITICCELLS"" does not appear as a synonym or match any of the candidate gene symbols or descriptions, and none of the candidate genes are related to dendritic cells or osteoarthritis based on the "
CIRCPDE4B,CIRCPDE4B,llm_declined,"""CIRCPDE4B"" does not match any of the candidate gene symbols or their synonyms, and none of the candidate genes are biologically plausible matches for a circPDE4B gene involved in cartilage matrix bre"
C5,C5,direct,exact symbol match
C6,C6,direct,exact symbol match
CD59A,CD59A,llm_declined,"None of the candidate gene symbols or their synonyms match ""CD59A"" case-insensitively, and the context does not provide a plausible match for this gene symbol."
ERRFI1,ERRFI1,direct,exact symbol match
COL11A1,COL11A1,direct,exact symbol match
ALPK1,ALPK1,direct,exact symbol match
CXCL12,CXCL12,direct,exact symbol match
BMP7,BMP7,direct,exact symbol match
IL1RA,IL1RN,llm,"""IL1RA"" is listed as a synonym for the gene symbol IL1RN, which is biologically relevant to interleukin-1 receptor antagonist activity described in the abstract."
MIR-146A,MIR-146A,llm_declined,"None of the candidate gene symbols or synonyms match ""MIR-146A"", and the context suggests a microRNA, which is not represented among the provided candidates."
NELL1,NELL1,direct,exact symbol match
FLT4,FLT4,direct,exact symbol match
CASC3,CASC3,direct,exact symbol match
LIN28A,LIN28A,direct,exact symbol match
PIM1,PIM1,direct,exact symbol match
DKK1,DKK1,direct,exact symbol match
CXCR4,CXCR4,direct,exact symbol match
PRG4,PRG4,direct,exact symbol match
ITGAM,ITGAM,direct,exact symbol match
TUT7,TUT7,direct,exact symbol match
OLR1,OLR1,direct,exact symbol match
TGFBR1,TGFBR1,direct,exact symbol match
HSPG2,HSPG2,direct,exact symbol match
ITGBL1,ITGBL1,direct,exact symbol match
NCAM1,NCAM1,direct,exact symbol match
NFKB1,NFKB1,direct,exact symbol match
DNMT3B,DNMT3B,direct,exact symbol match
TNNC1,TNNC1,direct,exact symbol match
TNF,TNF,direct,exact symbol match
CASPASE3,CASPASE3,llm_declined,"None of the candidate gene symbols have ""CASPASE3"" in their synonym lists, and the context suggests a gene involved in apoptosis, which is not supported by any of the provided candidates."
CRY2,CRY2,direct,exact symbol match
KLF15,KLF15,direct,exact symbol match
OBRB,OBRB,llm_declined,"""OBRB"" does not appear in any of the candidate gene synonym lists, and there is no biological context in the abstract that suggests a match to any of the listed genes."
NRF2,NFE2L2,llm,"""NRF2"" is explicitly listed as a synonym for the gene symbol NFE2L2, matching exactly and directly."
WNT7A,WNT7A,direct,exact symbol match
TNC,TNC,direct,exact symbol match
GAS6,GAS6,direct,exact symbol match
ESRRG,ESRRG,direct,exact symbol match
FTH1,FTH1,direct,exact symbol match
IKBKE,IKBKE,direct,exact symbol match
NOTSTATED,NOTSTATED,llm_declined,"""NOTSTATED"" does not appear in any of the candidate gene synonym lists, and there is no biological plausibility linking it to the context of osteoarthritis research."
PTGDS,PTGDS,direct,exact symbol match
SMO,SMO,direct,exact symbol match
OGT,OGT,direct,exact symbol match
SOD2,SOD2,direct,exact symbol match
MAPK8,MAPK8,direct,exact symbol match
MIF,MIF,direct,exact symbol match
HYAL2,HYAL2,direct,exact symbol match
ATRX,ATRX,direct,exact symbol match
WWP2,WWP2,direct,exact symbol match
FOXO1,FOXO1,direct,exact symbol match
FOXO3,FOXO3,direct,exact symbol match
FOXO4,FOXO4,direct,exact symbol match
VHL,VHL,direct,exact symbol match
RUNX1,RUNX1,direct,exact symbol match
FOS,FOS,direct,exact symbol match
PDK1,PDK1,direct,exact symbol match
CTNNB1,CTNNB1,direct,exact symbol match
OPG,TNFRSF11B,llm,"""OPG"" is explicitly listed as a synonym for TNFRSF11B, matching the gene name directly and confirming its biological relevance to osteoarthritis research."
AKT1,AKT1,direct,exact symbol match
MIR-375,MIR-375,llm_declined,"None of the candidate gene symbols or synonyms match ""MIR-375"" case-insensitively or punctuation-insensitively, and no candidate is biologically plausible for miR-375 function in osteoarthritis."
CDK9,CDK9,direct,exact symbol match
WNT16,WNT16,direct,exact symbol match
CCR2,CCR2,direct,exact symbol match
CCL2,CCL2,direct,exact symbol match
COL9A1,COL9A1,direct,exact symbol match
MIR141200C,MIR141200C,llm_declined,"""MIR141200C"" does not match any of the candidate gene symbols or synonyms, and none of the candidate genes are related to microRNAs or osteoarthritis biology."
A2M,A2M,direct,exact symbol match
GSK3,GSK3,llm_declined,"None of the candidate gene symbols have ""GSK3"" in their synonym lists, and ""GSK3"" is not biologically plausible for the described context of osteoarthritis research."
OPTC,OPTC,direct,exact symbol match
GZMA,GZMA,direct,exact symbol match
FABP9,FABP9,direct,exact symbol match
CCR7,CCR7,direct,exact symbol match
SMAD3,SMAD3,direct,exact symbol match
A20,TNFAIP3,llm,"""A20"" is an exact synonym listed for TNFAIP3, and the abstract context aligns with TNFAIP3's known role in inhibiting NF-κB and modulating inflammation, which matches the described effects of A20 aden"
SLPI,SLPI,direct,exact symbol match
IL6,IL6,direct,exact symbol match
DCN,DCN,direct,exact symbol match
LUBRICIN,LUBRICIN,llm_declined,"""LUBRICIN"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically plausible matches to a protein involved in cartilage degeneration or synoviocyte"
EXT1,EXT1,direct,exact symbol match
IGSF11,IGSF11,direct,exact symbol match
NLRP3,NLRP3,direct,exact symbol match
PTX3,PTX3,direct,exact symbol match
CCN2,CCN2,direct,exact symbol match
EPAS1,EPAS1,direct,exact symbol match
ROR2,ROR2,direct,exact symbol match
KAT2B,KAT2B,direct,exact symbol match
RPS6KA2,RPS6KA2,direct,exact symbol match
CXCR2,CXCR2,direct,exact symbol match
IRF4,IRF4,direct,exact symbol match
CCL17,CCL17,direct,exact symbol match
CCR4,CCR4,direct,exact symbol match
CSF2,CSF2,direct,exact symbol match
