original,normalised,method,reasoning
ET1,EDN1,llm,"""ET1"" is an exact synonym for EDN1, matching the gene symbol directly and aligning with the biological context of endothelin-1 in the abstract."
XOR,XDH,llm,"""XOR"" is listed as a synonym for XDH in the NCBI database, providing an exact match."
HDAC6,HDAC6,direct,exact symbol match
FSH,BRD2,llm,"""FSH"" appears as a synonym in the BRD2 gene's list, matching the abstract's mention of FSH injection, and is an exact synonym match."
Fgf2,FGF2,direct,exact symbol match
Fgfr,Fgfr,llm_declined,"""Fgfr"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions are biologically plausible for the context of osteoarthritis research."
Hic-5,Hic-5,llm_declined,"""Hic-5"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically plausible matches to a gene involved in osteoarthritis based on the abstract contex"
Trpv4,TRPV4,direct,exact symbol match
CF101,CF101,llm_declined,"""CF101"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically plausible matches to a molecule that delays OA progression, reduces inflammation, a"
Egfr,EGFR,direct,exact symbol match
Col2a1,COL2A1,direct,exact symbol match
Par2,Par2,llm_declined,"""Par2"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions align with the biological context of PAR2 (proteinase-activated receptor 2) in osteoarthritis resea"
Elane,ELANE,direct,exact symbol match
Sirt1,SIRT1,direct,exact symbol match
S100a9,S100A9,direct,exact symbol match
Camkk2,CAMKK2,direct,exact symbol match
ERAD,ERAD,llm_declined,"None of the candidate gene symbols have ""ERAD"" in their synonym lists, and ""ERAD"" is not biologically plausible for the described context of cartilage destruction in osteoarthritis."
NCOA3,NCOA3,direct,exact symbol match
Sox9,SOX9,direct,exact symbol match
Sost,SOST,direct,exact symbol match
Adrb2,ADRB2,direct,exact symbol match
Rip3,Rip3,llm_declined,"""Rip3"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically plausible matches for a gene involved in osteoarthritis pathogenesis based on the ab"
Trim24,TRIM24,direct,exact symbol match
TGF beta,TGF beta,llm_declined,"None of the candidate gene symbols have ""TGF beta"" in their synonym lists, and ""TGF beta"" is a well-known signaling molecule not represented among the provided candidates."
circPDE4B,circPDE4B,llm_declined,"""circPDE4B"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are circRNAs or related to cartilage matrix breakdown, which is the context of the abstract."
C5,C5,direct,exact symbol match
C6,C6,direct,exact symbol match
CD59a,CD59a,llm_declined,"None of the candidate gene symbols or their synonyms match ""CD59a"", and the context of complement involvement in arthritis does not align with the functions of the listed candidates."
Mia,MIA,direct,exact symbol match
Mig6,Mig6,llm_declined,"""Mig6"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions are biologically relevant to osteoarthritis or cartilage biology."
Col11a1,COL11A1,direct,exact symbol match
ALPK1,ALPK1,direct,exact symbol match
SDF-1,SDF-1,llm_declined,"None of the candidate gene symbols have ""SDF-1"" in their synonym lists, and none of the gene descriptions are biologically plausible matches for SDF-1, which is a chemokine involved in cell migration "
BMP7,BMP7,direct,exact symbol match
FGFR1,FGFR1,direct,exact symbol match
IL1RA,IL1RN,llm,"""IL1RA"" is listed as a synonym for the gene symbol IL1RN, which is biologically relevant to interleukin-1 receptor antagonist activity described in the abstract."
Not stated,Not stated,llm_declined,"""Not stated"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions are biologically relevant to the context of osteoarthritis or lymphatic drainage"
Sdf1,Sdf1,llm_declined,"""Sdf1"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically related to the SDF-1/CXCR4 axis mentioned in the abstract context."
Lin28a,LIN28A,direct,exact symbol match
PIM-1,PIM-1,llm_declined,"None of the candidate gene symbols have ""PIM-1"" in their synonym lists, and none of the gene descriptions are biologically plausible matches for a gene involved in osteoarthritis or synovium expressio"
Dkk-1,Dkk-1,llm_declined,"None of the candidate gene symbols have ""Dkk-1"" in their synonym lists, and ""Dkk-1"" is not biologically plausible for the listed candidates based on the context of osteoarthritis research."
CXCR4,CXCR4,direct,exact symbol match
TGF-β,TGF-β,llm_declined,"None of the candidate gene symbols have ""TGF-β"" in their synonym lists, and none of the gene descriptions are biologically related to TGF-β signaling or osteoarthritis."
Prg4,PRG4,direct,exact symbol match
Rela,RELA,direct,exact symbol match
Cd11b,Cd11b,llm_declined,"None of the candidate gene symbols have ""Cd11b"" in their synonym lists, and ""Cd11b"" is a known integrin subunit (ITGB2) not represented among the provided candidates."
ZCCHC6,TUT7,llm,"""ZCCHC6"" appears as a synonym in the TUT7 gene's list, providing an exact match."
LOX1,OLR1,llm,"""LOX1"" is explicitly listed as a synonym for OLR1, matching exactly and confirming the correct gene symbol."
Il17,Il17,llm_declined,"""Il17"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically plausible matches for IL-17 based on the abstract context."
Alk5,Alk5,llm_declined,"""Alk5"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically plausible matches for a gene involved in osteoarthritis or cartilage degradation."
Hspg2,HSPG2,direct,exact symbol match
Itgbl1,ITGBL1,direct,exact symbol match
NCAM,NCAM1,llm,"""NCAM"" appears as a synonym in the NCAM1 entry, providing an exact match, and the context of chondrocyte hypertrophy in osteoarthritis aligns with NCAM1's known biological functions in cell adhesion a"
METTL3,METTL3,direct,exact symbol match
NF-κB,NF-κB,llm_declined,"None of the candidate gene symbols have ""NF-κB"" in their synonym lists, and none of the gene descriptions are biologically related to NF-κB, a transcription factor involved in inflammation and immune "
Dnmt3b,DNMT3B,direct,exact symbol match
Tnnc1,TNNC1,direct,exact symbol match
Cry2,CRY2,direct,exact symbol match
Cry1,CRY1,direct,exact symbol match
Klf15,KLF15,direct,exact symbol match
Ob-Rb,Ob-Rb,llm_declined,"""Ob-Rb"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions suggest a biological connection to osteoarthritis or the context provided."
Nrf2,Nrf2,llm_declined,"None of the candidate gene symbols have ""Nrf2"" in their synonym lists, and ""Nrf2"" is a well-known transcription factor involved in oxidative stress response, which is not biologically plausible for an"
KLF4,KLF4,direct,exact symbol match
Wnt7a,WNT7A,direct,exact symbol match
TNC,TNC,direct,exact symbol match
GAS6,GAS6,direct,exact symbol match
Esrrg,ESRRG,direct,exact symbol match
FTH1,FTH1,direct,exact symbol match
IKKε,IKKε,llm_declined,"""IKKε"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically plausible matches to the context of osteoarthritis research."
GlcN.HCl,GlcN.HCl,llm_declined,"""GlcN.HCl"" does not appear in any of the candidate gene synonym lists, and none of the candidate genes are biologically related to glucosamine hydrochloride, which is a common supplement used in osteo"
MucoP,MucoP,llm_declined,"""MucoP"" does not appear in any of the candidate gene synonym lists, and none of the gene descriptions or functions align with the context of MucoP treatment in osteoarthritis research."
L-PGDS,PTGDS,llm,"""L-PGDS"" is explicitly listed as a synonym for PTGDS, matching the gene name directly and exactly."
Smo,SMO,direct,exact symbol match
OGT,OGT,direct,exact symbol match
PLA2,PLA2G2A,llm,"""PLA2"" appears as a synonym in the synonym list of PLA2G2A, and the abstract context involves sPLA2, which is directly related to the gene product of PLA2G2A."
SOD2,SOD2,direct,exact symbol match
JNK,MAPK8,llm,"""JNK"" appears as a synonym in the MAPK8 gene's list, and it is biologically relevant to the context of apoptosis and signaling pathways mentioned in the abstract."
