dir,change,count
results/tsweep_t12_s1/Qwen3-8B,ET1 -> EDN1,1
results/tsweep_t12_s1/Qwen3-8B,miR-877-5p -> MIR-877,1
results/tsweep_t12_s1/Qwen3-8B,XOR -> XDH,1
results/tsweep_t12_s1/Qwen3-8B,miR-9-5p -> MIR-9,1
results/tsweep_t12_s1/Qwen3-8B,Hic-5 -> TGFB1I1,1
results/tsweep_t12_s1/Qwen3-8B,miR-10a-5p -> MIR-10A,2
results/tsweep_t12_s1/Qwen3-8B,Neutrophil elastase -> ELANE,1
results/tsweep_t12_s1/Qwen3-8B,PAR2 -> F2RL1,2
results/tsweep_t12_s1/Qwen3-8B,Sclerostin -> SOST,2
results/tsweep_t12_s1/Qwen3-8B,Rip3 -> RIPK3,1
results/tsweep_t12_s1/Qwen3-8B,Rage -> AGER,1
results/tsweep_t12_s1/Qwen3-8B,CD59a -> CD59,1
results/tsweep_t12_s1/Qwen3-8B,Mig6 -> ERRFI1,2
results/tsweep_t12_s1/Qwen3-8B,SDF-1 -> CXCL12,1
results/tsweep_t12_s1/Qwen3-8B,IL1RA -> IL1RN,1
results/tsweep_t12_s1/Qwen3-8B,Sdf1 -> CXCL12,2
results/tsweep_t12_s1/Qwen3-8B,TGF-β -> TGFB1,1
results/tsweep_t12_s1/Qwen3-8B,Cd11b -> ITGAM,1
results/tsweep_t12_s1/Qwen3-8B,ZCCHC6 -> TUT7,1
results/tsweep_t12_s1/Qwen3-8B,LOX-1 -> OLR1,1
results/tsweep_t12_s1/Qwen3-8B,Il1ra -> IL1RN,1
results/tsweep_t12_s1/Qwen3-8B,Il17 -> IL17A,1
results/tsweep_t12_s1/Qwen3-8B,Alk5 -> TGFBR1,1
results/tsweep_t12_s1/Qwen3-8B,NCAM -> NCAM1,1
results/tsweep_t12_s1/Qwen3-8B,NF-κB -> NFKB1,1
results/tsweep_t12_s1/Qwen3-8B,Ob-Rb -> LEPR,1
results/tsweep_t12_s1/Qwen3-8B,Nrf2 -> NFE2L2,1
results/tsweep_t12_s1/Qwen3-8B,IKKε -> IKBKE,1
results/tsweep_t12_s1/Qwen3-8B,L-PGDS -> PTGDS,1
results/tsweep_t12_s1/Qwen3-8B,PLA2 -> PLA2G1B,1
results/tsweep_t12_s1/Qwen3-8B,JNK -> MAPK8,1
results/tsweep_t12_s1/Qwen3-8B,C-Fos -> FOS,1
results/tsweep_t12_s1/Qwen3-8B,Opg -> TNFRSF11B,1
results/tsweep_t12_s1/Qwen3-8B,Perf -> FABP9,1
results/tsweep_t12_s1/Qwen3-8B,A20 -> TNFAIP3,1
results/tsweep_t12_s1/Qwen3-8B,PCAF -> KAT2B,1
results/tsweep_t12_s1/Qwen3-8B,Rsk3 -> RPS6KA2,2
results/tsweep_t12_s1/Qwen3-8B,Gmcsf -> CSF2,1
results/tsweep_t12_s1/Qwen3-8B,Jmjd3 -> KDM6B,1
results/tsweep_t12_s1/Qwen3-8B,Cox2 -> PTGS2,1
results/tsweep_t12_s1/Qwen3-8B,OPN -> SPP1,1
results/tsweep_t12_s1/Qwen3-8B,p21 -> CDKN1A,1
results/tsweep_t12_s1/Qwen3-8B,TDP-43 -> TARDBP,1
results/tsweep_t12_s1/Qwen3-8B,Pkcδ -> PRRT2,1
results/tsweep_t12_s1/Qwen3-8B,Atf6α -> ATF6,1
results/tsweep_t12_s1/Qwen3-8B,miR-181a-5p -> MIR-181A,2
results/tsweep_t12_s1/Qwen3-8B,miR-18a-3p -> MIR-18A,1
results/tsweep_t12_s1/Qwen3-8B,Nox2 -> CYBB,1
results/tsweep_t12_s1/Qwen3-8B,Glut1 -> SLC2A1,2
results/tsweep_t12_s1/Qwen3-8B,Tankyrase -> TNKS,1
results/tsweep_t12_s1/Qwen3-8B,miR-204-5p -> MIR-204,1
results/tsweep_t12_s1/Qwen3-8B,MiR-455-3p -> MIR-455,1
results/tsweep_t12_s1/Qwen3-8B,PAR-1 -> F2R,1
results/tsweep_t12_s1/Qwen3-8B,PAR-2 -> F2RL1,1
results/q8b_think_v7full/Qwen3-8B,ET1 -> EDN1,1
results/q8b_think_v7full/Qwen3-8B,XOR -> XDH,1
results/q8b_think_v7full/Qwen3-8B,HIC5 -> TGFB1I1,1
results/q8b_think_v7full/Qwen3-8B,ADENOSINEA3RECEPTOR -> ADORA3,1
results/q8b_think_v7full/Qwen3-8B,NEUTROPHIL ELASTASE -> ELANE,1
results/q8b_think_v7full/Qwen3-8B,PAR2 -> F2RL1,3
results/q8b_think_v7full/Qwen3-8B,RIP3 -> RIPK3,2
results/q8b_think_v7full/Qwen3-8B,RAGE -> AGER,1
results/q8b_think_v7full/Qwen3-8B,MIG6 -> ERRFI1,2
results/q8b_think_v7full/Qwen3-8B,IL1RA -> IL1RN,2
results/q8b_think_v7full/Qwen3-8B,VEGFR3 -> FLT4,1
results/q8b_think_v7full/Qwen3-8B,TGFB -> TGFB1,1
results/q8b_think_v7full/Qwen3-8B,CD11B -> ITGAM,1
results/q8b_think_v7full/Qwen3-8B,ZCCHC6 -> TUT7,1
results/q8b_think_v7full/Qwen3-8B,LOX1 -> OLR1,1
results/q8b_think_v7full/Qwen3-8B,IL17 -> IL17A,1
results/q8b_think_v7full/Qwen3-8B,ALK5 -> TGFBR1,1
results/q8b_think_v7full/Qwen3-8B,NCAM -> NCAM1,1
results/q8b_think_v7full/Qwen3-8B,NRF2 -> NFE2L2,1
results/q8b_think_v7full/Qwen3-8B,IKKE -> IKBKE,1
results/q8b_think_v7full/Qwen3-8B,LPGDS -> PTGDS,1
results/q8b_think_v7full/Qwen3-8B,CFOS -> FOS,1
results/q8b_think_v7full/Qwen3-8B,BETA-CATENIN -> CTNNB1,1
results/q8b_think_v7full/Qwen3-8B,OPG -> TNFRSF11B,1
results/q8b_think_v7full/Qwen3-8B,PERF -> FABP9,1
results/q8b_think_v7full/Qwen3-8B,A20 -> TNFAIP3,1
results/q8b_think_v7full/Qwen3-8B,RSK3 -> RPS6KA2,2
results/q8b_think_v7full/Qwen3-8B,JMJD3 -> KDM6B,1
results/q8b_think_v7full/Qwen3-8B,P21 -> CDKN1A,1
results/q8b_think_v7full/Qwen3-8B,TDP43 -> TARDBP,1
results/q8b_think_v7full/Qwen3-8B,ATF6A -> ATF6,1
results/q8b_think_v7full/Qwen3-8B,NOX2 -> CYBB,1
results/q8b_think_v7full/Qwen3-8B,GLUT1 -> SLC2A1,2
results/q8b_think_v7full/Qwen3-8B,TANKYRASE -> TNKS,2
results/q8b_think_v7full/Qwen3-8B,ST2 -> IL1RL1,1
results/q8b_think_v7full/Qwen3-8B,PAR1 -> F2R,1
results/magi_think_v5/Magistral-Small-2509,RIP3 -> RIPK3,2
results/magi_think_v5/Magistral-Small-2509,MIG6 -> ERRFI1,2
results/magi_think_v5/Magistral-Small-2509,ZCCHC6 -> TUT7,1
results/magi_think_v5/Magistral-Small-2509,TNNC -> TNNC1,1
results/magi_think_v5/Magistral-Small-2509,H2 -> FGFR1,1
results/magi_think_v5/Magistral-Small-2509,OPTICIN -> OPTC,1
results/magi_think_v5/Magistral-Small-2509,TGC -> TGM2,1
results/magi_think_v5/Magistral-Small-2509,LPA1 -> LPAR1,2
results/magi_think_v5/Magistral-Small-2509,TANKYRASE -> TNKS,2
results/magi_think_v5/Magistral-Small-2509,Chondroitin sulfate -> CHONDROITINSULFATE,2
results/magi_think_v5/Magistral-Small-2509,glucosamine sulfate -> GLUCOSAMINESULFATE,1
results/magi_think_v5/Magistral-Small-2509,glucosamine hydrochloride -> GLUCOSAMINEHYDROCHLORIDE,1
results/magi_think_v5/Magistral-Small-2509,IL1F9 -> IL36G,3
results/llama31_v3/Llama-3.1-8B-Instruct,ET-1 -> EDN1,1
results/llama31_v3/Llama-3.1-8B-Instruct,ETB -> EDNRB,1
results/llama31_v3/Llama-3.1-8B-Instruct,miR-877-5p -> MIR-877,1
results/llama31_v3/Llama-3.1-8B-Instruct,Xor -> XDH,1
results/llama31_v3/Llama-3.1-8B-Instruct,Beclin-1 -> BECN1,1
results/llama31_v3/Llama-3.1-8B-Instruct,LC3 -> MAP1LC3A,1
results/llama31_v3/Llama-3.1-8B-Instruct,miR-9-5p -> MIR-9,1
results/llama31_v3/Llama-3.1-8B-Instruct,Hic-5 -> TGFB1I1,1
results/llama31_v3/Llama-3.1-8B-Instruct,Adenosine A3 receptor -> ADORA3,2
results/llama31_v3/Llama-3.1-8B-Instruct,COX-2 -> PTGS2,2
results/llama31_v3/Llama-3.1-8B-Instruct,miR-10a-5p -> MIR-10A,1
results/llama31_v3/Llama-3.1-8B-Instruct,Neutrophil elastase -> ELANE,1
results/llama31_v3/Llama-3.1-8B-Instruct,PAR2 -> F2RL1,2
results/llama31_v3/Llama-3.1-8B-Instruct,FPN -> SLC40A1,1
results/llama31_v3/Llama-3.1-8B-Instruct,FLVCR -> FLVCR1,1
results/llama31_v3/Llama-3.1-8B-Instruct,HCP-1 -> SLC46A1,1
results/llama31_v3/Llama-3.1-8B-Instruct,P53 -> TP53,1
results/llama31_v3/Llama-3.1-8B-Instruct,P21 -> NSG1,1
results/llama31_v3/Llama-3.1-8B-Instruct,RAGE -> AGER,1
results/llama31_v3/Llama-3.1-8B-Instruct,Rip3 -> RIPK3,2
results/llama31_v3/Llama-3.1-8B-Instruct,TGF beta -> TGFB1,1
results/llama31_v3/Llama-3.1-8B-Instruct,CD11c -> ITGAX,1
results/llama31_v3/Llama-3.1-8B-Instruct,CD59a -> CD59,1
results/llama31_v3/Llama-3.1-8B-Instruct,p54(nrb) -> NONO,1
results/llama31_v3/Llama-3.1-8B-Instruct,Mig6 -> ERRFI1,1
results/llama31_v3/Llama-3.1-8B-Instruct,Sdf1 -> CXCL12,2
results/llama31_v3/Llama-3.1-8B-Instruct,IL1ra -> IL1RN,2
results/llama31_v3/Llama-3.1-8B-Instruct,VEGFR-3 -> FLT4,1
results/llama31_v3/Llama-3.1-8B-Instruct,BTZ -> CASC3,1
results/llama31_v3/Llama-3.1-8B-Instruct,Sdf1a -> CXCL12,1
results/llama31_v3/Llama-3.1-8B-Instruct,TGF-β -> TGFB1,1
results/llama31_v3/Llama-3.1-8B-Instruct,CD11b -> ITGAM,2
results/llama31_v3/Llama-3.1-8B-Instruct,Zcchc6 -> TUT7,1
results/llama31_v3/Llama-3.1-8B-Instruct,Lox1 -> OLR1,1
results/llama31_v3/Llama-3.1-8B-Instruct,Il17 -> IL17A,1
results/llama31_v3/Llama-3.1-8B-Instruct,Alk5 -> TGFBR1,1
results/llama31_v3/Llama-3.1-8B-Instruct,NCAM -> NCAM1,2
results/llama31_v3/Llama-3.1-8B-Instruct,Cbfa1 -> RUNX2,3
results/llama31_v3/Llama-3.1-8B-Instruct,NF-κB -> NFKB1,1
results/llama31_v3/Llama-3.1-8B-Instruct,Tn -> TNC,2
results/llama31_v3/Llama-3.1-8B-Instruct,TNF-α -> TNF,3
results/llama31_v3/Llama-3.1-8B-Instruct,Caspase-3 -> CASP3,3
results/llama31_v3/Llama-3.1-8B-Instruct,Ob-Rb -> LEPR,1
results/llama31_v3/Llama-3.1-8B-Instruct,Nrf2 -> NFE2L2,1
results/llama31_v3/Llama-3.1-8B-Instruct,TNFalpha -> TNF,3
results/llama31_v3/Llama-3.1-8B-Instruct,IKKε -> IKBKE,3
results/llama31_v3/Llama-3.1-8B-Instruct,L-PGDS -> PTGDS,1
results/llama31_v3/Llama-3.1-8B-Instruct,JNK -> MAPK8,1
results/llama31_v3/Llama-3.1-8B-Instruct,Mig-6 -> ERRFI1,1
results/llama31_v3/Llama-3.1-8B-Instruct,RANKL -> TNFSF11,1
results/llama31_v3/Llama-3.1-8B-Instruct,c-Fos -> FOS,2
results/llama31_v3/Llama-3.1-8B-Instruct,Bcat -> BLNK,1
results/llama31_v3/Llama-3.1-8B-Instruct,Opg -> TNFRSF11B,1
results/llama31_v3/Llama-3.1-8B-Instruct,ERRα -> ESRRA,2
results/llama31_v3/Llama-3.1-8B-Instruct,HSP47 -> SERPINH1,1
results/llama31_v3/Llama-3.1-8B-Instruct,HSP60 -> HSPD1,1
results/llama31_v3/Llama-3.1-8B-Instruct,TNF-alpha -> TNF,1
results/llama31_v3/Llama-3.1-8B-Instruct,Par2 -> F2RL1,3
results/llama31_v3/Llama-3.1-8B-Instruct,perf -> FABP9,1
results/llama31_v3/Llama-3.1-8B-Instruct,A20 -> TNFAIP3,2
results/llama31_v3/Llama-3.1-8B-Instruct,Lubricin -> PRG4,2
results/llama31_v3/Llama-3.1-8B-Instruct,SDF-1 -> CXCL12,1
results/llama31_v3/Llama-3.1-8B-Instruct,PCAF -> KAT2B,2
results/llama31_v3/Llama-3.1-8B-Instruct,Rsk-3 -> RPS6KA2,2
results/llama31_v3/Llama-3.1-8B-Instruct,Jmjd3 -> KDM6B,1
results/llama31_v3/Llama-3.1-8B-Instruct,Gm-csf -> CSF2,1
results/llama31_v3/Llama-3.1-8B-Instruct,Aggrecan -> ACAN,1
results/llama31_v3/Llama-3.1-8B-Instruct,Opn -> SPP1,1
results/llama31_v3/Llama-3.1-8B-Instruct,PI3K -> PIK3CA,1
results/llama31_v3/Llama-3.1-8B-Instruct,miR-142-5p -> MIR-142,1
results/llama31_v3/Llama-3.1-8B-Instruct,p21 -> CDKN1A,1
results/llama31_v3/Llama-3.1-8B-Instruct,NF-kB -> NFKB1,1
results/llama31_v3/Llama-3.1-8B-Instruct,Caspase-7 -> CASP7,1
results/llama31_v3/Llama-3.1-8B-Instruct,TDP-43 -> TARDBP,1
results/llama31_v3/Llama-3.1-8B-Instruct,Pkcδ -> PRRT2,2
results/llama31_v3/Llama-3.1-8B-Instruct,Atf6α -> ATF6,1
